date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2018-01-19,16.552,16.62,16.454,16.356,30861.0,50778689.4,1.16897727273,-1.62621068994,-1.05749361857,1.60447307646,0.0519519128355,-0.218620326686,-0.244596283103,16.5847591045,16.8033794312,39.5631589321,41.7348611712,35.219754454,-0.0819261822708,-0.0187434525993,-0.0258631648583,-0.029937461838
2018-01-22,15.97,16.401,16.28,15.97,22746.0,37030488.0,0.861590909091,-1.05749361857,0.184275184275,2.64742014742,0.0285740593558,-0.226737496006,-0.241024525684,16.5378730884,16.7646105844,50.3506906415,44.606804328,61.8384632687,-0.449990235273,0.0371290695767,-0.0146026643339,0.272666086343
2018-01-23,16.242,16.439,16.31,16.197,14883.0,24274173.0,0.56375,0.184275184275,0.557939914163,1.4837522992,0.0206471833065,-0.228120036117,-0.23844362777,16.5028156902,16.7309357263,49.1318653864,46.1151580141,55.1652801309,-0.277415118048,0.00609753629503,-0.0107080302554,-0.0242067236742
2018-01-24,16.363,16.431,16.401,16.114,17845.0,29267584.5,0.675946969697,0.557939914163,-0.786537406256,1.93280897506,0.0305589163949,-0.219344305024,-0.234623763221,16.4871517378,16.7064960429,62.9333361251,51.7212173844,85.3575736064,0.480052554449,-0.0384697953015,-0.016019990071,0.280906711565
2018-01-25,16.401,16.56,16.272,16.204,18307.0,29789150.4,0.693446969697,-0.786537406256,-0.510078662734,2.1878072763,0.0229825326411,-0.22025968032,-0.231750946641,16.4540514705,16.6743111508,48.3225986152,50.5883444614,43.791106923,-0.247927107621,0.00417323484497,-0.0122443547094,-0.232162132337
2018-01-26,16.272,16.34,16.189,16.121,11987.0,19405754.3,0.454053030303,-0.510078662734,-1.26011489283,1.35277039965,0.0106609458379,-0.225087855492,-0.230418328411,16.4132743212,16.6383621767,42.565141847,47.9139435899,31.8675383612,-0.536128328224,0.0219203767338,-0.0057502169853,-0.119146257305
2018-01-29,16.31,16.31,15.985,15.94,14849.0,23736126.5,0.562462121212,-1.26011489283,1.93931811073,2.31467000313,-0.0194570974621,-0.242579014325,-0.232850465594,16.3473859641,16.5899649784,32.4308152854,42.7529008217,11.7866442127,-2.82508172896,0.0777081410923,0.0105553112877,-0.238089810626
2018-01-30,15.985,16.484,16.295,15.97,18509.0,30160415.5,0.701098484848,1.93931811073,-1.52807609696,3.15434182264,0.00649812774333,-0.228789135754,-0.232038199626,16.339326585,16.5681157207,42.6970675184,42.7342897206,42.622623114,-1.33397210226,-0.0568469560691,-0.00348835878788,0.316558561439
2018-01-31,16.25,16.25,16.046,15.925,16597.0,26631546.2,0.628674242424,-1.52807609696,-4.2876729403,2.02542689767,-0.00512458316173,-0.235241064102,-0.232678772521,16.2941994181,16.5294404822,40.8749680892,42.1145158435,38.3958725806,-1.78862456451,0.0282003265866,0.00276063551712,-0.0426750485481
2018-02-01,15.879,16.053,15.358,15.199,23928.0,36748622.4,0.906363636364,-4.2876729403,-0.735772887095,5.56061987238,-0.0957113635743,-0.292498374755,-0.244642692968,16.1501687384,16.4426671131,33.4560677191,39.2283664687,21.9114702199,17.6769070876,0.243398451166,0.0514181861849,-0.181502291424
