,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
343,2018-02-27,33.8644934651,10898.29,10807.53,10915.36,10791.95,195932779.0,10826.093893,10671.9537133,-190.95257427,-154.14017968,73.6247891797,sz,-154.14017968
344,2018-02-28,23.5537006175,10705.81,10828.73,10875.71,10656.36,186638953.0,10826.2891602,10696.0731421,-178.805263045,-130.216018147,97.1784897972,sz,-130.216018147
345,2018-03-01,27.5304946071,10754.62,10943.13,10943.13,10732.93,190070304.0,10834.9440372,10734.0818894,-163.216639995,-100.862147793,124.708984404,sz,-100.862147793
346,2018-03-02,2.60520226919,10857.87,10856.25,10947.39,10840.01,184646816.0,10836.5222567,10752.8769834,-147.302366661,-83.645273324,127.314186673,sz,-83.645273324
347,2018-03-05,0.124679803582,10882.87,10875.68,10913.03,10813.46,159549538.0,10839.4228303,10771.7697552,-131.372508351,-67.6530751126,127.438866477,sz,-67.6530751126
348,2018-03-06,12.675311872,10909.28,11007.95,11007.95,10873.85,206525497.0,10851.9063243,10808.1051774,-113.858236057,-43.801146883,140.114178349,sz,-43.801146883
349,2018-03-07,-10.4656625613,10993.95,10904.99,11031.48,10897.58,179148337.0,10855.8384484,10823.0105348,-97.652171584,-32.8279136902,129.648515788,sz,-32.8279136902
350,2018-03-08,2.9864029748,10902.35,11019.08,11019.08,10892.18,165203174.0,10867.9304152,10853.1750679,-81.0728067387,-14.7553473575,132.634918762,sz,-14.7553473575
351,2018-03-09,18.8392481833,11040.37,11194.91,11203.72,11030.55,234555468.0,10892.1511252,10905.7496728,-62.1385358705,13.5985476024,151.474166946,sz,13.5985476024
352,2018-03-12,21.7667366328,11266.32,11326.27,11328.77,11260.46,261773246.0,10924.3080789,10970.4451078,-40.4834229232,46.1370288661,173.240903579,sz,46.1370288661
353,2018-03-13,-5.53158022771,11311.04,11241.41,11335.3,11236.38,227848425.0,10947.7971101,11012.1320143,-19.5197575043,64.3349041711,167.709323351,sz,64.3349041711
